"Item Type","Product ID","Product SKU","Product Name","Category String",Weight,Description,Price,"Retail Price","Sale Price","Cost Price","Calculated Price","Sort Order","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Minimum Purchase Quantity","Maximum Purchase Quantity","Brand + Name",Brand,"Product UPC/EAN","Product Tax Class","Search Keywords","Page Title","Meta Keywords","Meta Description","Product URL","Redirect Old URL?","Option Set","Option Set Align","Stop Processing Rules","Product Custom Fields","Product Images","Category Details","Product Type","Product Files","Shipping Groups","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","GPS Category","GPS Enabled","GPS Custom Item","Date Added","Date Modified"
"  SKU",369,171-HO-1,"[RB]Design=Home with Wreath",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",370,171-ME-1,"[RB]Design=Merry Farmhouse Christmas",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",371,171-NE-1,"[RB]Design=Never Forgot",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",372,171-OR-1,"[RB]Design=Ornament Key",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",373,171-RE-1,"[RB]Design=Reindeer Sleigh Rides",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",374,171-OC-1,"[RB]Design=O Come let us",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",375,171-SA-1,"[RB]Design=Santa Express",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",376,171-SN-1,"[RB]Design=Snowflake Key",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",377,171-TH-1,"[RB]Design=The Magic of Christmas",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",378,171-ST-1,"[RB]Design=String Xmas Lights",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",379,171-TR-1,"[RB]Design=Tree Key",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",380,171-WE-,"[RB]Design=Welcome Moose",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",381,186-WE,"[RB]Design=Welcome Red Tree Truck",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",382,186-WE-1,"[RB]Design=Welcome Rear Facing Truck",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",383,171-WE-1-1-1-1,"[RB]Design=Welcome w/ Truck",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",384,171-WI-,"[RB]Design=Winter Deer Scene",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",385,171-WI-1-1,"[RB]Design=Winter Sweater",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  Rule",308,171-BE-,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 308_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/308_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",335,171-WI-1-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 335_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/335_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",334,171-WI-,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 334_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/334_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",333,171-WE-1-1-1-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 333_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/333_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",332,186-WE-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 332_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/332_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",331,186-WE,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 331_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/331_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",330,171-WE-,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 330_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/330_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",329,171-TR-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 329_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/329_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",328,171-ST-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 328_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/328_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",327,171-TH-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 327_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/327_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

"  Rule",326,171-SN-1,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,0,,"Product Image ID: , Product Image File: , Product Image Path: 326_source_1595216341.jpg, Product Image URL: https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/326_source_1595216341.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,

