handleId,fieldType,name,description,productImageUrl,price,surcharge,visible,inventory,weight,collection,sku,ribbon,discountMode,discountValue,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,additionalInfoTitle7,additionalInfoDescription7,additionalInfoTitle8,additionalInfoDescription8,customTextField1,customTextCharLimit1,customTextMandatory1,brand
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/334_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-WI-,,,,Design,DROP_DOWN,Winter Deer Scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/313_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-12-1,,,,Design,DROP_DOWN,12 Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/314_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-DE-,,,,Design,DROP_DOWN,Dear Santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/308_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-BE-,,,,Design,DROP_DOWN,Believe in Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/315_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-DE-1-,,,,Design,DROP_DOWN,Deer hooves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/307_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-CH-1,,,,Design,DROP_DOWN,Christmas Begins with Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/316_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-DE-1-1-1,,,,Design,DROP_DOWN,Deer Tree Scape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/310_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-BI-1,,,,Design,DROP_DOWN,Bird on Birch Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/317_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-EL-1,,,,Design,DROP_DOWN,Elf Welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/321_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-NE-1,,,,Design,DROP_DOWN,Never Forgot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/320_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-ME-1,,,,Design,DROP_DOWN,Merry Farmhouse Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Product,Christmas Pallet Signss,,http://ez-peezie-crafts.mybigcommerce.com/product_images/a/327/Christmas_Trees_4__25375.jpg,25.0,0.0,TRUE,InStock,0.0000,Christmas,,New,,,Design,DROP_DOWN,Deer hooves;Winter Sweater;Believe in Magic;Reindeer Sleigh Rides;Welcome Moose;Ornament Key;Welcome Rear Facing Truck;Welcome Red Tree Truck;The Magic of Christmas;Welcome w/ Truck;Elf Welcome;12 Trees;Deer Tree Scape;6 Trees;Dear Santa;Snowflake Key;Winter Deer Scene;O Come let us;Christmas Begins with Christ;Bird on Birch Trees;Tree Key;4 Trees;Santa Express;Farm Fresh Christmas Trees;Never Forgot;Be Merry;Home with Wreath;Merry Farmhouse Christmas;String Xmas Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/373_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-DE-1,,,,Design,DROP_DOWN,Deer hooves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/393_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-WI-1,,,,Design,DROP_DOWN,Winter Sweater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/366_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-BE,,,,Design,DROP_DOWN,Believe in Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/381_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-RE,,,,Design,DROP_DOWN,Reindeer Sleigh Rides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
